Topic,Count,Name,Representation,Representative_Docs,Koherensi
-1,5386,-1_anies_prabowo_ganjar_nomor,"['anies', 'prabowo', 'ganjar', 'nomor', 'imin', 'mahfud', 'cawapres', 'capres', 'urut', 'pemilu']","['ketua dpp pdip puan maharani ucapan selamat deklarasi anies baswedan muhaimin iskandar cak imin pasangan capres cawapres', 'capres nomor urut 2 prabowo subianto capres nomor urut 1 anies baswedan program beasiswa negeri anies', 'cawapres nomor urut 1 muhaimin iskandar cak imin cawapres nomor urut 3 mahfud md dinilai gaspol debat']",
0,8332,0_2024_gibran_prabowo_presiden,"['2024', 'gibran', 'prabowo', 'presiden', 'ganjar', 'pemilu', 'pilpres', 'rakabuming', 'jokowi', 'imin']","['anies buka suara sgie cawapres gibran rakabuming debat cak imin anies menyebut masyarakat menilai', 'ketum psi kaesang pangarep gibran rakabuming mengatasi mahfud md muhaimin iskandar cak imin debat cawapres', 'pasangan caprescawapres nomor urut 2 prabowo subianto gibran rakabuming raka kampanye besok']",0.101378087927634
1,323,1_megawati_soekarnoputri_pdip_ketum,"['megawati', 'soekarnoputri', 'pdip', 'ketum', 'ketua', 'ganjar', 'hasto', 'bertemu', 'pranowo', 'jokowi']","['ketua ketum gerindra bacapres prabowo subianto mengaku bertemu ketum pdip megawati soekarnoputri', 'pdip bicara peluang kerja psi pdip dibahas megawati megawati soekarnoputri', 'mahfud md bertemu ketum pdip megawati soekarnoputri sekjen pdip hasto kristiyanto megawati restu mahfud mundur']",0.1105875656171467
2,288,2_video_viral_tv_azan,"['video', 'viral', 'tv', 'azan', 'hoax', 'media', 'tayangan', 'sosial', 'stasiun', 'ganjar']","['video 4 kader pkb mengumandangkan azan melepas aniescak imin kpu ri viral media sosial momen azan dinarasikan bentuk kampanye', 'video dinarasikan petugas kpu capres nomor urut 2 prabowo subianto viral media sosial aitu', 'beredar video viral pendakwah kondang gus miftah bagibagi uang masyarakat video gus miftah dinarasikan money politics']",0.0562084970714942
3,185,3_pan_zulkifli_hasan_zulhas,"['pan', 'zulkifli', 'hasan', 'zulhas', 'ketua', 'amanat', 'partai', 'nasional', '2024', 'kader']","['ketua pan zulkifli hasan zulhas pemilih muda milenial pan', 'ketua pan zulkifli hasan zulhas optimistis pan partai pemilu 2024', 'ketua pan zulkifli hasan zulhas antusiasme kader pan']",0.0180110827270267
4,170,4_airlangga_golkar_hartarto_partai,"['airlangga', 'golkar', 'hartarto', 'partai', 'ketum', 'air', 'prabowo', 'ketua', 'subianto', 'prabowogibran']","['golkar mengusung ketum airlangga hartarto', 'ketua partai golkar airlangga hartarto menyebut cawapres prabowo dibahas', 'ketum partai golkar airlangga hartarto partai bergabung mendukung capres prabowo subianto']",0.0407969424342053
5,127,5_duet_imin_aniescak_demokrat,"['duet', 'imin', 'aniescak', 'demokrat', 'pkb', 'anies', 'cak', 'baswedan', 'ganjar', 'band']","['isu ganjar duet prabowo menguat lantas duet terwujud', 'pks peluang anies menang duet ketum pkb muhaimin iskandar cak imin', 'duet aniescak imin dibongkar demokrat pkb menyambut tawaran duet lantas pkb berpamitan gerindra']",0.054523789181858
6,107,6_stadion_gbk_arena_akbar,"['stadion', 'gbk', 'arena', 'akbar', 'kampanye', 'jakarta', 'jis', 'indonesia', 'utama', 'gibran']","['megawati soekarnoputri menghadiri kampanye akbar pasangan ganjar pranowomahfud md stadion utama gelora karno sugbk senayan jakarta', 'prabowo subiantogibran rakabuming menggelar kampanye akbar stadion gbk jakarta massa pendukung memadati kawasan gbk', 'prabowo subiantogibran rakabuming raka menggelar kampanye akbar stadion gbk warga hadir memadati stadion gbk']",0.0549935974028066
7,101,7_batas_usia_mk_putusan,"['batas', 'usia', 'mk', 'putusan', 'gugatan', 'caprescawapres', 'mahkamah', 'terkait', 'konstitusi', 'uji']","['mk menggelar sidang putusan terkait gugatan batas usia capres cawapres psi mk independen diintervensi', 'pks mendesak mk menolak gugatan batas usia caprescawapres diputus pks menilai batas usia caprescawapres wewenang mk', 'ganjar menanggapi prabowo terkait putusan mk batas usia caprescawapres ganjar publik menilai prabowo']",0.0297927696254519
